Category,Essex ,Basildon,Braintree,Brentwood,Castle Point,Chelmsford,Colchester,Epping Forest,Harlow,Maldon,Rochford,Tendring,Uttlesford,Southend-on-Sea UA,Thurrock UA
All categories: Ethnic group,1393587,174497,147084,73601,88011,168310,173074,124659,81944,61629,83287,138048,79443,173658,157705
White: British,1264877,156215,137010,65688,83943,151990,151453,106233,68715,59011,79628,131666,73325,151136,127587
White: Irish,11165,1313,1051,921,527,1450,1155,1427,875,358,468,998,622,1496,1108
White: Gypsy or Irish Traveller,2161,873,132,121,17,212,79,176,117,201,49,62,122,162,308
White: Other White,35653,3276,3894,2138,786,4331,6619,5033,3292,859,792,1941,2692,6229,6426
Mixed/multiple ethnic group: White and Black Caribbean,6936,1131,554,343,346,854,889,881,654,152,296,595,241,1039,1056
Mixed/multiple ethnic group: White and Black African,2801,461,221,138,104,342,469,267,308,56,127,176,132,741,670
Mixed/multiple ethnic group: White and Asian,6173,668,596,444,264,844,929,808,389,174,304,371,382,977,683
Mixed/multiple ethnic group: Other Mixed,4975,627,466,271,197,606,865,693,401,124,178,325,222,894,690
Mixed/Multiple Ethnic Group (Total),20885,2887,1837,1196,911,2646,3152,2649,1752,506,905,1467,977,3651,3099
Asian/Asian British: Indian,12456,2089,625,939,378,1911,1426,3041,1061,117,262,323,284,1810,2234
Asian/Asian British: Pakistani,3462,436,122,113,67,673,366,933,629,7,42,34,40,1059,534
Asian/Asian British: Bangladeshi,2747,322,190,172,87,466,385,265,392,90,81,111,186,933,682
Asian/Asian British: Chinese,6361,584,335,377,220,826,1690,598,830,104,228,367,202,1084,828
Asian/Asian British: Other Asian,9834,1335,726,749,260,1086,2488,1085,821,166,268,440,410,1554,1649
Asian/Asian British (Total),34860,4766,1998,2350,1012,4962,6355,5922,3733,484,881,1275,1122,6440,5927
Black/African/Caribbean/Black British: African,12143,3339,540,542,327,1420,1803,1186,2256,59,235,239,197,2728,9742
Black/African/Caribbean/Black British: Caribbean,4556,931,286,230,203,429,528,958,542,61,95,134,159,524,1336
Black/African/Caribbean/Black British: Other Black,2010,415,87,124,131,202,244,260,292,30,103,61,61,395,1245
Black/Black British (Total),18709,4685,913,896,661,2051,2575,2404,3090,150,433,434,417,3647,12323
Other ethnic group: Arab,2042,112,65,105,31,318,978,151,147,8,40,47,40,297,254
Other ethnic group: Any other ethnic group,3235,370,184,186,123,350,708,664,223,52,91,158,126,600,673
Other Ethnic Groups (Total),5277,482,249,291,154,668,1686,815,370,60,131,205,166,897,927
BAME,79731,12820,4997,4733,2738,10327,13768,11790,8945,1200,2350,3381,2682,14635,22276
,,,,,,,,,,,,,,,
