"","Asian","","","Black","","","Mixed","","","White","","","Other inc Chinese","","","Unknown","",""
"Geography","% of police officers","% population","Number of police officers (FTE)","% of police officers","% population","Number of police officers (FTE)","% of police officers","% population","Number of police officers (FTE)","% of police officers","% population","Number of police officers (FTE)","% of police officers","% population","Number of police officers (FTE)","% of police officers","% population","Number of police officers (FTE)"
"All - excluding BTP","3.1","6.8","3,884","1.3","3.3","1,586","2.2","2.2","2,711","92.7","86.0","116,536","0.8","1.7","993","N/A","N/A","3,400"
"Avon & Somerset","0.4","2.1","10","0.4","1.9","11","2.4","1.8","63","96.5","93.3","2,489","0.3","1.0","7","N/A","N/A","224"
"Bedfordshire","5.6","13.2","68","1.1","4.8","13","3.2","3.0","39","89.9","77.5","1,095","0.2","1.4","3","N/A","N/A","44"
"British Transport Police","4.5","N/A","129","2.4","N/A","70","2.9","N/A","82","89.8","N/A","2,582","0.4","N/A","12","N/A","N/A","90"
"Cambridgeshire","1.4","4.9","21","0.8","1.3","13","2.0","2.0","31","95.4","90.3","1,456","0.4","1.6","6","N/A","N/A","19"
"Cheshire","0.5","1.2","10","0.2","0.3","5","1.1","1.0","22","98.1","96.9","1,981","0.1","0.5","2","N/A","N/A","68"
"Cleveland","1.5","3.1","20","0.0","0.6","0","0.5","1.0","7","97.8","94.5","1,273","0.2","0.8","2","N/A","N/A","23"
"Cumbria","0.3","0.6","3","0.3","0.1","3","0.5","0.5","6","99.0","98.5","1,187","0.0","0.3","0","N/A","N/A","22"
"Derbyshire","2.2","3.6","40","0.2","1.0","4","1.1","1.4","21","96.3","93.3","1,765","0.2","0.7","3","N/A","N/A","17"
"Devon & Cornwall","0.1","0.7","3","0.2","0.2","6","1.1","0.9","28","98.3","97.5","2,428","0.2","0.6","5","N/A","N/A","631"
"Dorset","0.3","1.4","3","0.2","0.4","2","1.2","1.3","14","98.2","96.0","1,158","0.2","0.8","2","N/A","N/A","59"
"Durham","0.4","0.8","5","0.1","0.2","1","1.1","0.7","12","98.3","97.8","1,120","0.1","0.5","1","N/A","N/A","2"
"Dyfed-Powys","0.2","0.8","2","0.1","0.2","1","0.9","0.6","8","98.7","98.0","885","0.1","0.4","1","N/A","N/A","268"
"Essex","0.6","2.3","18","0.2","2.0","5","2.1","1.6","68","96.8","93.2","3,138","0.4","0.9","14","N/A","N/A","56"
"Gloucestershire","0.8","1.8","9","0.4","0.9","4","1.7","1.5","19","97.0","95.4","1,100","0.2","0.5","2","N/A","N/A","42"
"Greater Manchester","4.9","9.2","332","0.9","2.8","63","2.2","2.3","150","91.4","83.8","6,232","0.6","2.0","43","N/A","N/A","46"
"Gwent","0.8","1.7","10","0.4","0.6","5","0.8","1.0","10","97.8","96.1","1,245","0.2","0.6","3","N/A","N/A","38"
"Hampshire","1.1","3.0","28","0.3","0.9","9","1.2","1.6","31","96.7","93.3","2,503","0.7","1.1","19","N/A","N/A","102"
"Hertfordshire","1.7","5.7","36","0.7","2.8","15","2.2","2.5","46","95.2","87.6","1,961","0.1","1.4","3","N/A","N/A","26"
"Humberside","0.8","1.3","16","0.4","0.5","8","0.6","0.9","11","98.2","96.5","1,920","0.0","0.8","0","N/A","N/A","11"
"Kent","1.2","3.1","45","0.3","1.3","11","1.7","1.6","63","96.5","93.1","3,595","0.3","0.9","12","N/A","N/A","56"
"Lancashire","2.6","7.4","74","0.1","0.4","3","1.9","1.1","54","95.3","90.4","2,722","0.2","0.7","5","N/A","N/A","142"
"Leicestershire","5.1","15.3","97","0.7","2.4","14","2.3","2.0","45","91.8","78.4","1,755","0.1","1.9","2","N/A","N/A","66"
"Lincolnshire","0.5","0.8","5","0.7","0.4","7","0.9","0.9","10","97.7","97.6","1,033","0.2","0.4","2","N/A","N/A","10"
"London, City of","2.7","9.2","21","1.9","2.6","14","2.5","3.9","19","92.8","78.6","702","0.1","5.7","1","N/A","N/A","2"
"Merseyside","0.4","1.4","16","0.5","1.1","19","2.0","1.5","73","96.5","94.5","3,454","0.4","1.6","16","N/A","N/A","51"
"Metropolitan Police","6.1","17.0","1,916","3.5","13.3","1,112","3.6","5.0","1,139","84.5","59.8","26,742","2.3","5.0","732","N/A","N/A","558"
"Norfolk","0.4","1.1","6","0.6","0.5","10","1.2","1.2","19","97.7","96.5","1,600","0.2","0.6","3","N/A","N/A","28"
"North Wales","0.2","0.9","3","0.1","0.2","1","0.7","0.7","10","99.1","97.5","1,486","0.0","0.6","0","N/A","N/A","10"
"North Yorkshire","0.8","1.2","12","0.2","0.5","3","1.1","0.9","16","97.7","96.6","1,435","0.2","0.8","3","N/A","N/A","12"
"Northamptonshire","1.5","3.3","18","1.0","2.4","12","1.7","2.0","21","95.8","91.5","1,168","0.1","0.8","1","N/A","N/A","53"
"Northumbria","0.9","2.7","27","0.1","0.6","2","1.1","0.9","33","97.8","94.6","2,951","0.2","1.3","5","N/A","N/A","137"
"Nottinghamshire","2.6","4.4","53","0.9","2.5","18","2.0","2.8","40","94.3","88.8","1,927","0.2","1.4","5","N/A","N/A","29"
"South Wales","0.8","2.8","25","0.2","1.0","6","1.3","1.4","39","97.4","93.4","2,910","0.3","1.5","9","N/A","N/A","24"
"South Yorkshire","1.8","4.1","44","0.5","1.9","12","1.3","1.5","31","96.3","90.6","2,332","0.1","1.8","3","N/A","N/A","15"
